Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
LOAK.U,Live Oak Acquisition Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/loak.u
LOAK.WS,Live Oak Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/loak.ws
LTHM,Livent Corporation,7.36,$1.08B,2018,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/lthm
RAMP,"LiveRamp Holdings, Inc.",51.58,$3.4B,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/ramp
LYG,Lloyds Banking Group Plc,1.45,$25.66B,n/a,Finance,Commercial Banks,https://old.nasdaq.com/symbol/lyg
SCD,LMP Capital and Income Fund Inc.,10.92,$196.38M,2004,n/a,n/a,https://old.nasdaq.com/symbol/scd
LMT,Lockheed Martin Corporation,387.88,$108.43B,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/lmt
L,Loews Corporation,35.61,$9.99B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/l
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima,4.99,$594.81M,2017,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/loma
LGVW,Longview Acquisition Corp.,9.85,$407.79M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/lgvw
LGVW.U,Longview Acquisition Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/lgvw.u
LGVW.WS,Longview Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/lgvw.ws
LPX,Louisiana-Pacific Corporation,32.97,$3.7B,n/a,Basic Industries,Forest Products,https://old.nasdaq.com/symbol/lpx
LOW,"Lowe&#39;s Companies, Inc.",158.58,$119.73B,n/a,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/low
LXU,Lsb Industries Inc.,2.15,$63.03M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/lxu
LTC,"LTC Properties, Inc.",36.21,$1.42B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ltc
LUB,"Luby&#39;s, Inc.",1.1,$33.69M,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/lub
LL,"Lumber Liquidators Holdings, Inc",26.79,$772.97M,2007,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/ll
LXFR,Luxfer Holdings PLC,14.12,$389.93M,2012,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/lxfr
LDL,"Lydall, Inc.",19.12,$339.59M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/ldl
LYB,LyondellBasell Industries NV,65.95,$22.02B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/lyb
MTB,M&T Bank Corporation,101.67,$13.04B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/mtb
MDC,"M.D.C. Holdings, Inc.",44.85,$2.84B,n/a,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/mdc
MHO,"M/I Homes, Inc.",45.72,$1.31B,1993,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/mho
MAC,Macerich Company (The),7.68,$1.15B,1994,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/mac
CLI,Mack-Cali Realty Corporation,12.66,$1.15B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cli
MFD,Macquarie First Trust Global,8.24,$70.43M,2004,n/a,n/a,https://old.nasdaq.com/symbol/mfd
MGU,Macquarie Global Infrastructure Total Return Fund Inc.,18.54,$231.16M,2005,n/a,n/a,https://old.nasdaq.com/symbol/mgu
MIC,Macquarie Infrastructure Corporation ,28.56,$2.49B,2004,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/mic
BMA,Macro Bank Inc.,18.44,$1.18B,n/a,Finance,Commercial Banks,https://old.nasdaq.com/symbol/bma
M,Macy&#39;s Inc,6.28,$1.95B,n/a,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/m
MCN,Madison Covered Call & Equity Strategy Fund,6.02,$126.1M,2004,n/a,n/a,https://old.nasdaq.com/symbol/mcn
MSGE,Madison Square Garden Entertainment Corp.,64.15,$1.54B,2020,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/msge
MSGS,Madison Square Garden Sports Corp.,160.64,$3.85B,2015,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/msgs
MMP,Magellan Midstream Partners L.P.,40.88,$9.2B,n/a,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/mmp
MGA,"Magna International, Inc.",51.08,$15.25B,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/mga
MX,MagnaChip Semiconductor Corporation,11.75,$413.13M,2011,Technology,Semiconductors,https://old.nasdaq.com/symbol/mx
MGY,Magnolia Oil & Gas Corporation,6.2,$1.56B,2017,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mgy
MH^A,"Maiden Holdings, Ltd.",9.67,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mh^a
MH^C,"Maiden Holdings, Ltd.",9.12,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mh^c
MH^D,"Maiden Holdings, Ltd.",8.75,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mh^d
MHLA,"Maiden Holdings, Ltd.",20,n/a,2016,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/mhla
MHNC,"Maiden Holdings, Ltd.",22.04,n/a,2013,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/mhnc
MAIN,Main Street Capital Corporation,30.84,$2.03B,2007,n/a,n/a,https://old.nasdaq.com/symbol/main
MMD,MainStay MacKay DefinedTerm Municipal Opportunitie,21.16,$584.06M,2012,n/a,n/a,https://old.nasdaq.com/symbol/mmd
MNK,Mallinckrodt plc,1.7,$143.8M,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mnk
MANU,Manchester United Ltd.,15,$2.47B,2012,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/manu
MTW,"Manitowoc Company, Inc. (The)",9.9,$341.76M,n/a,Capital Goods,Construction/Ag Equipment/Trucks,https://old.nasdaq.com/symbol/mtw
MN,"Manning & Napier, Inc.",4.09,$66.57M,2011,Finance,Investment Managers,https://old.nasdaq.com/symbol/mn
MAN,ManpowerGroup,75.49,$4.38B,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/man
MFC,Manulife Financial Corp,14.85,$28.8B,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/mfc
MRO,Marathon Oil Corporation,5.51,$4.35B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mro
MPC,Marathon Petroleum Corporation,35.62,$23.18B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/mpc
MMI,"Marcus & Millichap, Inc.",26.87,$1.06B,2013,Finance,Real Estate,https://old.nasdaq.com/symbol/mmi
MCS,Marcus Corporation (The),13.78,$428.01M,n/a,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/mcs
MPX,Marine Products Corporation,14.3,$485.75M,n/a,Capital Goods,Marine Transportation,https://old.nasdaq.com/symbol/mpx
HZO,"MarineMax, Inc.",32.25,$697.51M,1998,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/hzo
MKL,Markel Corporation,1068.84,$14.73B,1986,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/mkl
VAC,Marriott Vacations Worldwide Corporation,90.07,$3.7B,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/vac
MMC,"Marsh & McLennan Companies, Inc.",116.05,$58.78B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/mmc
MLM,"Martin Marietta Materials, Inc.",209.19,$13.03B,1994,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/mlm
MAS,Masco Corporation,58,$15.17B,n/a,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/mas
